ligand,category
DEET,Environmental
uric acid,Metabolites
sodium L-lactate,Other
creatinine,Metabolites
taurine,Metabolites
D-(+)-glucosamine hydrochloride,Other
L-carnosine,Amino Acids
l-carnitine,Metabolites
beta hydroxybutyrate,Metabolites
tryptamine hydrochloride,Neurotransmitters
ciprofloxacin hydrochloride hydrate,Pharmaceuticals
theophylline,Stimulants
rosuvastatin,Pharmaceuticals
thiamine (hydrochloride),Metabolites
nicotinamide,Metabolites
glyphosate,Environmental
citrulline,Metabolites
L-(+)-ergothioneine,Metabolites
"L-glutathione, reduced",Metabolites
-atenolol,Pharmaceuticals
betahistine,Neurotransmitters
3-methyl-L-histidine,Amino Acids
L-theanine,Amino Acids
ritalinic acid,Stimulants
DEHP,Environmental
everolimus,Pharmaceuticals
cyclosporin A,Pharmaceuticals
Atrazine,Environmental
tyramine,Neurotransmitters
carbamazepine,Pharmaceuticals
melatonin,Metabolites
phenytoin,Pharmaceuticals
colchicine,Pharmaceuticals
lamotrigine,Pharmaceuticals
17 beta estradiol,Hormones/Steroids
DHEA,Hormones/Steroids
corticosterone,Hormones/Steroids
progesterone,Hormones/Steroids
mono(2‐ethylhexyl) phthalate (mehp),Environmental
Fipronil,Environmental
Acetaminophen,Pharmaceuticals
valproic acid sodium salt,Pharmaceuticals
Histamine dihydrochloride,Neurotransmitters
Caffeine,Stimulants
Nicotine,Stimulants
phthalic acid,Environmental
methylsilanetriol (MST),Other
glyburide (potassium salt),Pharmaceuticals
D-neopterin,Metabolites
aspartame,Metabolites
l-thyroxine,Hormones/Steroids
milirinone,Other
T3,Hormones/Steroids
bilirubin,Metabolites
digoxin,Pharmaceuticals
folic acid,Metabolites
theobromine,Stimulants
atorvastatin (calcium salt hydrate),Pharmaceuticals
(-)-epinepherine (+)-bitartrate salt,Other
dopamine,Neurotransmitters
L-dopa,Neurotransmitters
carbadopa,Neurotransmitters
(–)-Norepinephrine (bitartrate hydrate),Neurotransmitters
