ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,-0.1122236128,0.1332209106,0.06113395369,-0.1025743707,-0.1842814134,0.3661567878,-0.009552718505,-0.02622950819,0.002444134085,0.09179265661,0.05180979419,0.01200141193,-0.01488456865,0.2147830745,0.196915777,0.06299212599,0.1354359926,0.2256461233
uric acid,-0.1814768461,0.009274873533,-0.06578662627,-0.2477688787,-0.2090001585,-0.06787762906,-0.0976698509,-0.1207412687,-0.01222067038,0.0755939525,-0.009936124897,-0.05118249206,-0.09052247873,-0.0503481521,-0.06168446025,-0.04212598424,-0.03710575135,-0.08031809145
sodium L-lactate,-0.09595327493,0.08642495782,0.05496645747,-0.178604119,-0.1336555221,0.06692160611,0.03169359878,-0.0330719886,0.03596368714,0.137149028,0.09652235625,0.06636074832,-0.001215066841,0.04284949114,-0.002372479257,0.03228346455,0.05751391458,0.002584493034
creatinine,-0.1764705882,-0.04763912311,-0.06838346678,-0.1744851259,-0.1384091269,-0.03059273423,-0.05428086778,-0.1237348539,-0.04574022347,-0.1382289417,-0.05677785664,-0.1440169432,-0.03766707169,-0.01017675416,-0.02135231317,0.007480314957,-0.06493506495,-0.0773359841
taurine,-0.1639549437,-0.03878583473,-0.0502055832,-0.2515446224,-0.1289019173,-0.06787762906,-0.07302919382,-0.1014967926,-0.0876396648,-0.1285097192,-0.06316536549,-0.08083303918,-0.04131227217,-0.03427959292,-0.04389086595,-0.03267716535,-0.0649350649,-0.1166998012
D-(+)-glucosamine hydrochloride,-0.1672924489,0.07251264755,-0.005734689462,-0.1949084668,-0.1445888132,0.003824091775,-0.007142219446,-0.1156094084,-0.00803072626,0.1144708423,0.0539389638,-0.01306036004,-0.03766707169,0.01553294054,-0.004744958486,-0.00669291339,0.001855287551,-0.02842942346
L-carnosine,-0.1485189821,0.04089376055,0.01731227007,-0.1454805492,-0.116780225,0.0009560229509,0.01294527275,-0.02238061297,0.01082402235,0.0593952484,0.07097232081,0.00529474056,-0.02855407047,0.03802892342,0.003558718869,-0.01496062991,0.001855287607,-0.04155069582
l-carnitine,-0.1581143095,0.400084317,-0.03202769963,0.08827231121,-0.02289652987,0.7562141491,0.01910543702,0.005844618677,-0.02164804469,0.09503239743,0.6266855926,0.4249911754,0.5938639125,0.3561863953,0.4424673784,1.779133858,0.280148423,0.5387673956
beta hydroxybutyrate,-0.1243220693,0.0560708263,0.04685133088,-0.1051487414,-0.06163840913,0.02772466539,0.08606374431,-0.03264433357,0.05481843575,0.1533477322,0.08374733853,0.04412283798,0.02794653706,0.04124263524,0.01304863582,0.06299212598,0.04081632651,0.03300198807
tryptamine hydrochloride,0.06174384648,0.1913996627,0.1422852197,0.05514874142,-0.002693709395,0.2782026769,0.1682885457,0.04305060585,0.404678771,0.2019438445,0.1625266146,0.1373102718,0.09082624545,0.1794322443,0.2763938316,0.2271653543,0.1966604824,0.5184890656
ciprofloxacin hydrochloride hydrate,0.2085940759,0.5923271501,-0.01774507682,2.275286041,1.050229758,2.501912046,0.5293277386,1.274269423,0.01606145251,0.1857451404,-0.005677785671,0.02400282386,0.01974483596,1.056775576,1.798339265,1.153149606,0.9758812616,2.193240557
theophylline,-0.05673758866,-0.05649241148,0.01146937892,-0.1991990847,-0.1598003486,-0.1414913958,-0.01464154987,-0.04419101925,-0.03840782124,0.04967602587,-0.07168204403,-0.08753971056,-0.0504252734,-0.05677557581,-0.0747330961,-0.03149606301,-0.09276437855,-0.05705765408
rosuvastatin,-0.0997079683,0.2230185497,0.03029647262,-0.1830663616,-0.1467279354,0.103250478,-0.0856173556,-0.05488239487,-0.03840782124,0.001079913564,0.05393896378,-0.01306036005,0.05528554069,0.07177289768,0.03914590746,0.06181102361,0.07421150271,0.002584493034
thiamine (hydrochloride),-0.09428452232,4.10455312,-0.001839428693,0.2042906178,0.4562668357,4.719885277,0.01830193733,0.7170349252,-0.01117318435,0.1630669547,0.01135557134,-0.0003529827015,-0.04860267314,2.502945903,2.466192171,1.95984252,1.58812616,2.657852883
nicotinamide,-0.107217355,0.04468802698,0.01017095867,-0.1708810069,-0.1702582792,0.02485659656,0.04160342826,-0.05359942979,0.01606145251,0.09827213822,0.02838892831,-0.004588775151,-0.009416767925,0.01071237279,0.1079478055,-0.03385826772,0.01855287568,-0.03021868787
glyphosate,-0.1280767626,-0.004637436754,0.0260766068,0.01945080092,0.05625099034,-0.07648183556,-0.04490670476,0.04133998575,0.01187150839,0.1533477322,-0.007806955273,-0.0458877515,-0.03584447144,-0.05677557578,-0.01897983392,0.06771653544,-0.05380333948,-0.03797216699
citrulline,-0.02169378389,0.1117200675,0.1153429994,-0.06121281464,0.03105688481,0.0879541109,0.08365324525,0.06528866714,0.1312849162,0.1533477322,0.1391057488,0.1200141193,0.08809234508,0.07659346546,0.07829181495,0.144488189,0.07977736553,0.1027833002
L-(+)-ergothioneine,-0.05298289529,1.228499157,0.09034840943,1.037871854,1.391776264,3.043977055,0.2617623426,0.440342124,0.1019553073,0.1144708423,0.2817601135,0.1164842923,0.2092952612,1.548473487,1.799525504,1.307874016,1.192949907,2.44194831
"L-glutathione, reduced",-0.1806424698,-0.06913996629,-0.05410084398,-0.006807780323,-0.0428616701,-0.138623327,-0.1271315061,0.01739130434,-0.01431564247,-0.04751619875,-0.0780695529,-0.1242499118,-0.07776427705,-0.07766470275,-0.04863582445,-0.0692913386,-0.05380333959,-0.1119284294
