ligand,AK1,cc93,Fent2 436L,iCytBrEtSnFR,iCytSnFR,iEscSnFR,iFloxSnFR,iLevaphenolSnFR1.0,L194,Tap1.0,V4.8.1.2,v4.6,V6,V7,V7.1,V7.1.2,V8,V9
DEET,,,,,,,,,,,,,,,,,,
uric acid,,,,,,,,,,,,,,,,,,
sodium L-lactate,,,,,,,,,,,,,,,,,,
creatinine,,,,,,,,,,,,,,,,,,
taurine,,,,,,,,,,,,,,,,,,
D-(+)-glucosamine hydrochloride,,,,,,,,,,,,,,,,,,
L-carnosine,,,,,,,,,,,,,,,,,,
l-carnitine,,,,,,,,,,,,,,,,,,
beta hydroxybutyrate,0.0235455808764664,0.0340493640281964,0.0447991576555545,0.0284027811198029,0.0483676532562065,0.029790509464994,0.072850200673438,0.0542112605960334,0.042773415225797,0.081560291971914,0.0557166621089074,0.0301774407885574,0.0481161094376278,0.0261302858496107,0.026133193586439,0.0306277958137587,0.0784064809259822,0.0403769456159171
tryptamine hydrochloride,0.0324371054085492,0.0308189998058523,0.0381257057669278,0.0305217610959726,0.0292489441391492,0.0520659610089394,0.0632172161793279,0.0312367120206161,0.0417215731241577,0.0769244225558275,0.0734417789233845,0.0311425979550246,0.0331063905444409,0.0157803105160848,0.018655794569181,0.0327411384098147,0.0898235134463936,0.0348287216657463
ciprofloxacin hydrochloride hydrate,0.0227102658954762,0.0372787139794356,0.0211868188728864,0.0263006747006678,0.0591049055514894,0.0251490371640485,0.0588667406727083,0.0470772455279577,0.0556494584253249,0.074709419264415,0.0700292200495242,0.0369149709958027,0.0345426958941155,0.0107123727926567,0.0164939925855756,0.0142930195825044,0.0866639756174517,0.0368196007613262
theophylline,0.0174189584435742,0.0452453396120978,0.0584434367554176,0.0416224825000751,0.0452952553681464,0.0173143119275075,0.0716438173598093,0.0296013624614639,0.0781374342459358,0.1109949473714085,0.0715660051839382,0.0440267219987238,0.0422923554820619,0.0111840455393683,0.0297349679937804,0.0344235002612473,0.0882578841823303,0.064700352951873
rosuvastatin,0.0241621221211833,0.0401503151809238,0.0439957962486314,0.0252534036693308,0.0466167109188964,0.0236893149002176,0.0640200480102157,0.0333765805052206,0.061547666319969,0.1378995129780529,0.0756013471055426,0.0395876043127115,0.031722902763109,0.0079445082945878,0.0315934904824129,0.0114173228423849,0.0747660173672063,0.0634652732347575
thiamine (hydrochloride),0.012258045262801,0.0438083581361667,0.0230037399306961,0.0238484944470017,0.0584315386794305,0.0330485392154147,0.0560348537678986,0.0457293242223725,0.0470255254453475,0.0692409075859848,0.0701908717508735,0.0285479876428525,0.0372160708158402,0.0286743627585557,0.0216251623840755,0.0147729630299272,0.0811250876120941,0.039733091298751
nicotinamide,0.079507276812366,0.0454217659389839,0.0222351177895681,0.0256009262008311,0.0724296276582476,0.0203253266009446,0.0513381955975442,0.0559347778346089,0.064643081902925,0.0834683104193786,0.0814884641902406,0.031357899493022,0.0329681353351646,0.0121787005930028,0.0211314973829584,0.0104608899738917,0.0784064809259822,0.0455632868282016
glyphosate,0.0523456155758095,0.0360572399954885,0.0465127581506051,0.0573393805638415,0.0367073857937601,0.0291861138080371,0.0500354560044509,0.0364765196994761,0.0555013857525915,0.0755476563106815,0.0675580447804959,0.0375756678666778,0.0492589351130346,0.0350738201336155,0.0239412819391373,0.0291338582724617,0.0935403537405599,0.0440186163129073
citrulline,0.0858215281768966,0.0352496627626277,0.0382787844362959,0.0517248846174144,0.0782534094128223,0.0554493307781104,0.051808328895781,0.0498178844737365,0.0600315008376365,0.0908155336651078,0.0636182835326752,0.0449966423722757,0.0541344318360395,0.0159430916678967,0.0279795011034116,0.0522421808529111,0.0923739464574269,0.0408194232335287
L-(+)-ergothioneine,0.0237443227033986,0.0803670036715731,0.0310572773418001,0.0173596604841569,1.198867093368033,0.1212906426531105,0.0646278369022648,0.0712647175927511,0.0482349341876449,0.0983077333380238,0.0646783340711997,0.0527470027934322,0.0653458602570956,0.0648032151430371,0.1301372085698521,0.1478900731723342,0.1842161358747846,0.0887849258833467
"L-glutathione, reduced",0.0115865200081522,0.0301897365807048,0.0461694206161852,0.0240746784610621,0.0301861183929654,0.0674927823840473,0.060811775666411,0.0459447830152823,0.081113874841917,0.1199919606284381,0.0725724515518835,0.0794438528911271,0.0327279552889177,0.0265712196208147,0.0406160778023454,0.0433392865471914,0.0882578841823303,0.0672717711063562
-atenolol,0.0155165579228657,0.0531464907381883,0.1200051843424753,0.006986435294123,0.0445444590709578,0.0490282271656617,0.0521251296617999,0.0346667385243278,0.0533235669322347,0.1045677618772427,0.0780211476265591,0.033289094964454,0.0556100526249169,0.0144120236223837,0.0369706062080909,0.0712239436410723,0.0833848053999375,0.0506751604923373
betahistine,0.0394663813676377,0.3515651202856563,0.027802781121815,0.0517752569364509,0.0512859646196892,0.2277402373263583,0.0554053098549088,0.0925407441956086,0.0466624689355926,0.0975037005746565,0.0441913132003677,0.0368186510771231,0.0444559228917531,0.1663576655942683,0.1805242095860519,0.0766301947282126,0.1661803353093131,0.0973174741081206
3-methyl-L-histidine,0.1002848064316212,0.0563601179394462,0.0214635169534582,0.0266814953429149,0.0320892777017287,0.0242611425224781,0.0542929805771447,0.0697079148271178,0.0557676335255233,0.087279470208792,0.0544825250705535,0.0269795189502333,0.047595503084914,0.0234757439828675,0.1369956975805643,0.044451591124528,0.0576931792490818,0.032328635715553
L-theanine,,0.0415020560025879,0.0286299294524483,0.0139250069014396,0.0323863010612287,0.0353857658061308,0.0697293465804804,0.0457213247621019,0.0437247878721505,0.092759487141658,0.0684248263387403,0.0323205736467852,0.0423316099815408,0.0157803105160848,0.0209978933189875,0.0283573907224924,0.0555038044715053,0.0380595000869978
ritalinic acid,0.0118512419878271,0.003253347321881,0.0093591121728052,0.0052023928251428,0.0071131980718237,0.0045881109108837,0.0206283660206547,0.0095246192053652,0.0124439219469898,0.0307533306970012,0.0340769290717278,0.0288904997598152,0.0194009548488515,0.0015777847900795,0.0031158512245692,0.0094460350813044,0.0064920502143647,0.0037851219375417
