ligand,display,category,scope,formal_charge,nitrogen_atoms,has_permanent_cation,has_anion,heavy_atoms,mol_wt,SMILES,max_response,hit_breadth_03,hit_breadth_10,any_hit_03,any_hit_10
melatonin,melatonin,Metabolites,alkaloid-like,0,2,False,False,17,232.283,COC1=CC2=C(NC=C2CCNC(C)=O)C=C1,0.1260034055,0,0,False,False
nicotinamide,nicotinamide,Metabolites,alkaloid-like,0,2,False,False,9,122.12699999999998,C1=CC(=CN=C1)C(=O)N,0.1079478055,0,0,False,False
betahistine,betahistine,Neurotransmitters,alkaloid-like,0,2,False,False,10,136.19799999999998,CCNCC1=CN=CC=C1,2.748508946,9,3,True,True
tryptamine hydrochloride,tryptamine,Neurotransmitters,alkaloid-like,0,2,False,False,13,196.68099999999995,C1=CC=C2C(=C1)C(=CN2)CCN.Cl,0.5184890656,2,0,True,False
Histamine dihydrochloride,histamine,Neurotransmitters,alkaloid-like,0,3,False,False,8,111.14799999999998,NCCC1=CN=CN1,0.190248566,0,0,False,False
Nicotine,Nicotine,Stimulants,alkaloid-like,0,2,False,False,12,162.23600000000002,CN1CCCC1C2=CN=CC=C2,12.14435946,10,10,True,True
theobromine,theobromine,Stimulants,alkaloid-like,0,4,False,False,13,180.16699999999997,CN1C=NC2=C1C(=O)NC(=O)N2C,0.5284201426,2,0,True,False
Caffeine,Caffeine,Stimulants,alkaloid-like,0,4,False,False,14,194.194,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,0.7872340426,1,0,True,False
theophylline,theophylline,Stimulants,alkaloid-like,0,4,False,False,13,180.167,CN1C2=C(C(=O)N(C1=O)C)NC=N2,0.04967602587,0,0,False,False
ritalinic acid,ritalinic acid,Stimulants,alkaloid-like,0,1,False,False,16,219.28400000000005,OC(=O)C(C1CCCCN1)C2=CC=CC=C2,-0.2582362729,0,0,False,False
L-(+)-ergothioneine,ergothioneine,Metabolites,non-alkaloid charged,0,4,True,True,16,226.27999999999997,CC[N+](C)(C)C1=CN=C(N1)C(CC(=O)[O-])N,3.043977055,10,9,True,True
thiamine (hydrochloride),thiamine,Metabolites,non-alkaloid charged,0,4,True,True,20,337.27599999999995,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO.Cl.[Cl-],4.719885277,9,7,True,True
l-carnitine,l-carnitine,Metabolites,non-alkaloid charged,0,1,True,True,11,161.201,C[N+](C)(C)C[C@@H](CC(=O)[O-])O,1.779133858,9,1,True,True
beta hydroxybutyrate,beta hydroxybutyrate,Metabolites,non-alkaloid charged,-1,0,False,True,7,103.09699999999998,CC(CC(=O)[O-])O,0.1533477322,0,0,False,False
sodium L-lactate,sodium L-lactate,Other,non-alkaloid charged,0,0,True,True,7,112.06,C[C@@H](C(=O)[O-])O.[Na+],0.137149028,0,0,False,False
valproic acid sodium salt,valproic acid,Pharmaceuticals,non-alkaloid charged,0,0,True,True,11,166.196,CCCC(CCC)C(=O)[O-].[Na+],0.1957234498,0,0,False,False
3-methyl-L-histidine,3-methyl-L-histidine,Amino Acids,non-alkaloid uncharged,0,3,False,False,12,169.184,CN1C=NC(CC(N)C(=O)O)=C1,0.2283464567,0,0,False,False
L-theanine,L-theanine,Amino Acids,non-alkaloid uncharged,0,2,False,False,12,174.2,CCNC(=O)CCC(N)C(=O)O,0.08207343411,0,0,False,False
L-carnosine,L-carnosine,Amino Acids,non-alkaloid uncharged,0,4,False,False,16,226.23599999999996,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,0.07097232081,0,0,False,False
DEHP,DEHP,Environmental,non-alkaloid uncharged,0,0,False,False,28,390.5640000000003,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)OCC(CC)CCCC,3.242033568,13,10,True,True
Fipronil,Fipronil,Environmental,non-alkaloid uncharged,0,4,False,False,30,499.17,C1=C(C=C(C(=C1C#N)N)C(F)(F)F)C(=NN2C(=C(C(=C2Cl)F)F)Cl)S(=O)C(F)(F)F,0.8218006946,8,0,True,False
mono(2‐ethylhexyl) phthalate (mehp),MEHP,Environmental,non-alkaloid uncharged,0,0,False,False,20,278.348,CCCCC(CC)COC(=O)C1=CC=CC=C1C(=O)O,0.7517564403,7,0,True,False
DEET,DEET,Environmental,non-alkaloid uncharged,0,1,False,False,14,191.274,CCN(CC)C(=O)C1=CC=CC(=C1)C,0.3661567878,1,0,True,False
Atrazine,Atrazine,Environmental,non-alkaloid uncharged,0,5,False,False,14,215.688,CCNC1=NC(=NC(=N1)Cl)NC(C)C,0.2084309134,0,0,False,False
glyphosate,glyphosate,Environmental,non-alkaloid uncharged,0,1,False,False,10,169.073,C(C(=O)O)NCP(=O)(O)O,0.1533477322,0,0,False,False
phthalic acid,phthalic acid,Environmental,non-alkaloid uncharged,0,0,False,False,12,166.13199999999998,OC(=O)C1=CC=CC=C1C(=O)O,0.03468208091,0,0,False,False
17 beta estradiol,estradiol,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,20,272.388,CC12CCC3C(CCC4=CC(O)=CC=C34)C1CCC2O,0.6206088993,7,0,True,False
l-thyroxine,l-thyroxine,Hormones/Steroids,non-alkaloid uncharged,0,1,False,False,24,776.8720000000001,NC(CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(=O)O,1.521754448,4,2,True,True
progesterone,progesterone,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,23,314.4690000000001,CC(=O)C1CCC2C1(C)CCC3C2CCC4=CC(=O)CCC34C,0.2246860807,0,0,False,False
corticosterone,corticosterone,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,25,346.46700000000016,CC12CCC(=O)C=C1CCC3C2C(O)CC4(C3CCC4C(=O)CO)C,0.1967213115,0,0,False,False
DHEA,DHEA,Hormones/Steroids,non-alkaloid uncharged,0,0,False,False,20,274.40399999999994,CC12CCC3C(CCC4=CC(=O)CCC34)C1CCC2O,0.1340520272,0,0,False,False
